method,frame,roi_id,source_x1,source_y1,source_x2,source_y2,canvas_x1,canvas_y1,canvas_x2,canvas_y2,status,log_fft_magnitude_similarity,high_frequency_energy_ratio,high_frequency_log_ratio_abs,orientation_histogram_intersection,band_energy_ratio,band_log_ratio_abs,reference_high_frequency_energy,normalized_high_frequency_energy,peak_position_error_px,peak_radius_error,peak_angle_error_deg,peak_energy_delta_db,peak_energy_delta_abs_db,peak_width_log_ratio_abs
optical_flow,148,roi_2,2072.676648279485,1054.9303913842923,2345.8576306803257,1192.8342526924089,932,447,1114,544,ok,0.837623732903785,30.005196324710894,3.401370577486589,0.9132601593890451,28.579806405479864,3.3527003987027073,6299.33901925347,189012.90398861215,31.76476034853718,0.3563767267517918,81.86989764584405,9.327626396241005,9.327626396241005,0.7439500525912506
optical_flow,148,roi_3,1667.9751724406312,1545.779168977225,1861.7884695833216,1658.2668865345513,658,760,788,842,ok,0.7963615095886929,5.683373532591262,1.7375449882196146,0.9189785197493603,15.565879530005642,2.745081309204,15481.591581886092,87987.6678388791,1.0,0.024355623258124015,0.08127055473377709,2.9111131952376463,2.9111131952376463,0.6277253419979523
optical_flow,223,roi_1,1276.262732393544,686.2315033709833,1762.392084756151,833.0735779120334,430,194,743,298,ok,0.849430523718212,3.5513934325201637,1.267340042675855,0.9105467182447019,4.891534380748668,1.5875060335625597,10761.96822332964,38219.98326932358,23.345235059857504,0.4466890366849437,6.519801751656985,2.799614551980886,2.799614551980886,0.5097424056847727
optical_flow,223,roi_2,2071.3153644845274,673.9972176011051,2342.653980484294,814.6068645477629,937,202,1115,298,ok,0.8170863434954923,5.079726048443712,1.6252573326645419,0.860384653011207,6.3985552655559434,1.8560722251256883,3547.9639201992322,18022.684744374506,21.37755832643195,0.4426881456915458,7.125016348901795,7.219334011304675,7.219334011304675,0.012014610819407301
optical_flow,223,roi_3,1654.104816663263,1174.5735925050346,1843.3578009320076,1283.2610493340728,658,515,784,592,ok,0.8117553334805874,2.771988731627198,1.0195650162498409,0.9271499255400685,54.610575613059204,4.000227556541752,33660.61633726419,93306.8491865227,1.0,0.001024404243752386,1.505351745408376,-4.045435479623435,4.045435479623435,1.3028831084622665
optical_flow,297,roi_1,2193.2939322301027,1118.3577036453316,2446.8473280214807,1284.3530922569535,947,516,1118,634,ok,0.8307093801638677,1.4436722537739641,0.3671900436381409,0.9292735829928164,17.41205523306822,2.857162795811612,167536.3748434605,241867.6158593783,1.0,0.016949152542372947,0.0,-1.697938427180627,1.697938427180627,0.3664660456769277
optical_flow,297,roi_2,2124.2582377491754,696.46207278989,2427.646732627032,818.6054928056504,909,241,1109,327,ok,0.852767587325964,81.55849437438316,4.401320485192348,0.9265994979275068,73.24421138839234,4.293799219360065,2888.223291306713,235559.14305600093,5.830951894845301,0.1201431491723779,6.340191745909905,16.60874814676995,16.60874814676995,0.4568300839671918
optical_flow,297,roi_3,1673.7722908093276,750.3102472054403,1916.7457607331523,839.619414528792,617,266,776,330,ok,0.8289888462000924,43.16206373978763,3.764961955275228,0.8920548281345693,56.37883292679934,4.032093785343999,421.0003474302939,18171.24383025908,28.319604517012593,0.12796947217903087,84.55966796899449,18.20739247415968,18.20739247415968,0.14438746759664314
proposal_border,148,roi_1,1237.3732597846074,1041.7966903073286,1833.6432886787497,1211.2214342001578,392,419,781,544,ok,0.8802811199960546,0.9609828996790971,0.03979866446871116,0.9519001583018463,0.9522607546444739,0.04891637975758665,33387.01982536497,32084.355123422734,1.0,0.01545967384485436,0.380444471839823,-0.5343855738378462,0.5343855738378462,0.09624009333427352
proposal_border,148,roi_2,2072.676648279485,1054.9303913842923,2345.8576306803257,1192.8342526924089,932,447,1114,544,ok,0.8659245961395957,0.671752466747733,0.3978653593716069,0.9484000474291364,0.6414092224712897,0.44408761316837875,6299.33901925347,4231.596525063764,1.0,0.003271217715337782,1.9945693012418388,-3.039314912678526,3.039314912678526,0.1059095862036536
proposal_border,148,roi_3,1667.9751724406312,1545.779168977225,1861.7884695833216,1658.2668865345513,658,760,788,842,ok,0.8951945928599929,1.036091937132945,0.035455882306234386,0.949431640010723,0.9933316874427993,0.006690645088948542,15481.591581886092,16040.352211977453,1.0,0.024355623258124015,0.08127055473377709,0.34537953027655066,0.34537953027655066,0.022394334854320252
proposal_border,223,roi_1,1276.262732393544,686.2315033709833,1762.392084756151,833.0735779120334,430,194,743,298,ok,0.8783412314098802,0.7913334398071415,0.23403585793075843,0.9107765952670874,0.8117195691332169,0.208600356680664,10761.96822332964,8516.305333262597,1.0,0.01910982009485762,0.17961000574707953,-7.6487857474631245,7.6487857474631245,0.40987686242147664
proposal_border,223,roi_2,2071.3153644845274,673.9972176011051,2342.653980484294,814.6068645477629,937,202,1115,298,ok,0.8734474275688927,0.6425346379286615,0.44233455249290327,0.9153551988740976,0.7059823336111951,0.3481650650155855,3547.9639201992322,2279.6897128491682,38.8329756778952,0.2968548123582124,82.8749836510982,-0.501281916485002,0.501281916485002,0.1339344198469785
proposal_border,223,roi_3,1654.104816663263,1174.5735925050346,1843.3578009320076,1283.2610493340728,658,515,784,592,ok,0.8950261167737216,0.8820619524702384,0.12549298454616,0.9636757120831635,0.8040982159761803,0.21803385808964149,33660.61633726419,29690.748967798856,0.0,0.0,0.0,-0.5452725857646964,0.5452725857646964,0.018340242068764893
proposal_border,297,roi_1,2193.2939322301027,1118.3577036453316,2446.8473280214807,1284.3530922569535,947,516,1118,634,ok,0.8861393304529459,0.9464708810678514,0.055015073657722666,0.9571085041873956,0.7078622656062447,0.3455057443179721,167536.3748434605,158568.30030900388,1.0,0.016949152542372947,0.0,-0.17564639169167504,0.17564639169167504,0.031106023914082667
proposal_border,297,roi_2,2124.2582377491754,696.46207278989,2427.646732627032,818.6054928056504,909,241,1109,327,ok,0.8670332793453503,0.7400888667743198,0.30098500975860937,0.9451346480735097,0.6478036286614586,0.43416767074553236,2888.223291306713,2137.5419026543814,0.0,0.0,0.0,-4.238965157540994,4.238965157540994,0.1352660084518075
proposal_border,297,roi_3,1673.7722908093276,750.3102472054403,1916.7457607331523,839.619414528792,617,266,776,330,ok,0.8556791462164696,1.0842798545873875,0.08091603813626712,0.9283259223149889,1.181260503226835,0.16658209140688635,421.0003474302939,456.4821954929587,0.0,0.0,0.0,0.0482121085394718,0.0482121085394718,0.13926646399227507
