category,clip_id,method,metric,status,reason,annotation_frames,estimate_frames,matched_frames,rows,ok_rows,corner_rmse_px_mean,corner_rmse_px_p50,corner_rmse_px_p95,corner_rmse_px_max,corner_mean_px_mean,corner_mean_px_p50,corner_mean_px_p95,corner_mean_px_max,corner_max_px_mean,corner_max_px_p50,corner_max_px_p95,corner_max_px_max,quad_iou_mean,quad_iou_p50,quad_iou_p95,quad_iou_max,aspect_abs_error_mean,aspect_abs_error_p50,aspect_abs_error_p95,aspect_abs_error_max,aspect_relative_error_mean,aspect_relative_error_p50,aspect_relative_error_p95,aspect_relative_error_max,initialization_frame_excluded
screen_video,screen_video_03,frame_wise,geometry,ok,,4,299,4,4,4,20.76168704032898,22.76754093170166,31.237874889373778,31.255563735961914,12.281150698661804,13.047518730163574,17.29245090484619,17.39012908935547,40.741843700408936,45.17805862426758,62.37999839782715,62.424869537353516,0.9854276064635715,0.983902123380818,0.9929298636326,0.9938540160515869,0.0271978189297698,0.029195987442592553,0.0387439622125856,0.03903126829028447,0.015178998016494851,0.016267939338503585,0.02161405595620866,0.021787593019156837,True
screen_video,screen_video_03,optical_flow,geometry,ok,,4,299,4,4,4,33.426294803619385,24.676597595214844,60.79187602996825,66.67459869384766,21.045266151428223,14.389727115631104,40.452560997009265,44.654178619384766,64.24968719482422,49.00033950805664,113.51938400268553,123.9607925415039,0.9727940933995936,0.9831235562965388,0.9857523170240209,0.9857586444119971,0.051096794415653624,0.03245836278404857,0.10138311795550253,0.11283006624012537,0.028626170386449015,0.018075380100943422,0.056974694490394606,0.0634470823337916,True
screen_video,screen_video_03,proposed,geometry,ok,,4,299,4,4,4,2.0052225589752197,2.083516299724579,2.2216144442558288,2.2277045249938965,1.8306653201580048,1.8469643592834473,2.070692044496536,2.1039414405822754,2.7670578062534332,2.694345235824585,3.5621903777122497,3.686535120010376,0.9978531263854801,0.9979484392626721,0.9980072780131543,0.9980097567934306,0.0020255662438735667,0.0020446472357610324,0.003483674225496391,0.0036633406257022827,0.0011310202070894543,0.0011417670495934254,0.0019437429908837267,0.002044908560227649,True
screen_video,screen_video_04,frame_wise,geometry,ok,,4,299,4,4,4,31.62579107284546,31.46778392791748,39.14211483001709,39.24402618408203,19.800607681274414,19.492859840393066,26.222415256500245,26.629106521606445,61.374796867370605,60.202741622924805,76.19364204406737,76.95187377929688,0.9788493496672346,0.978423244045133,0.9833991487199891,0.9837883901144642,0.03348118215631796,0.03282987179607533,0.03842543397144271,0.039118828970234,0.01871547072190641,0.018388207691059193,0.021455588003622246,0.021830464152487856,True
screen_video,screen_video_04,optical_flow,geometry,ok,,4,299,4,4,4,31.98649311065674,33.93177127838135,37.956638717651366,38.05978775024414,17.931578159332275,18.81174945831299,21.060203552246094,21.11455726623535,63.75971031188965,67.6303482055664,75.76896057128906,76.0038070678711,0.979728982360504,0.9790677221270555,0.9828892959179885,0.9834383985020669,0.03727841793190856,0.038674822966405786,0.0420975301549368,0.042249597474860234,0.020837146579037177,0.02162451008854121,0.023507179628324826,0.02357760565465262,True
screen_video,screen_video_04,proposed,geometry,ok,,4,299,4,4,4,4.7801671624183655,5.075838327407837,5.855523324012756,5.955254077911377,4.56110018491745,4.9899492263793945,5.726259803771972,5.811680793762207,6.199880361557007,6.333857774734497,7.594909191131591,7.79501485824585,0.9947280162593763,0.994188813106363,0.9962886506857491,0.9966392124346164,0.001144261422710513,0.0006725930616494624,0.0025386347438997583,0.0028642148522890487,0.0006389980464550845,0.0003757891278677233,0.0014166619359824142,0.0015983898624751026,True
screen_video,screen_video_05,frame_wise,geometry,ok,,4,300,4,4,4,33.38735055923462,33.553762435913086,34.644335174560545,34.8361930847168,19.495398998260498,19.49551773071289,21.678289318084715,21.79841423034668,65.87647151947021,66.28463745117188,67.71954879760742,67.83765411376953,0.9788310014458053,0.9792843910310678,0.980557813022563,0.9806205927465524,0.03491143272200403,0.034546548809184396,0.03822821385728703,0.03847780796166056,0.019788770767013582,0.01969367805236001,0.021568225372567428,0.02166098590773362,True
screen_video,screen_video_05,optical_flow,geometry,ok,,4,300,4,4,4,33.11838340759277,32.75973129272461,34.23480453491211,34.458740234375,18.84900188446045,18.692951202392578,20.486796569824218,20.686574935913086,65.72594261169434,65.35768127441406,67.65155487060547,67.961181640625,0.9793497417850507,0.9795440740114335,0.9807725962828516,0.9809215829438097,0.034829879786894447,0.035103051838585086,0.036772491496514036,0.036857436637305785,0.01974131722852595,0.019884042430144112,0.020748052143788793,0.02074880191697414,True
screen_video,screen_video_05,proposed,geometry,ok,,4,300,4,4,4,3.1078155040740967,2.9457746744155884,3.8973684430122373,4.0514092445373535,2.8654465079307556,2.7444599866867065,3.4506610631942745,3.561282157897949,4.29666793346405,3.8682552576065063,5.857105112075805,6.170352935791016,0.9972405892005551,0.997737436108498,0.9980828391592679,0.9981025189258913,0.0014525117130981258,0.0010226546751477272,0.002770414356167882,0.003050339499379051,0.0008252930478650467,0.000574512618271526,0.0015816604717721512,0.0017435564291069924,True
screen_video,screen_video_06,frame_wise,geometry,ok,,4,300,4,4,4,56.64220607280731,21.469518661499023,157.74201335906977,180.88893127441406,54.59398835897446,18.247559547424316,155.66420364379877,179.51040649414062,69.00267934799194,35.38023281097412,178.1845819473266,200.97189331054688,0.9385537170090037,0.9763900212285417,0.9941201408829397,0.9964704662449868,0.0051972431288184184,0.005755612696504597,0.009090505994073282,0.009249572744544743,0.004020523608378219,0.004492508216510512,0.006976933529971599,0.007075368388154687,True
screen_video,screen_video_06,optical_flow,geometry,ok,,4,300,4,4,4,67.75777411460876,64.36581230163574,128.9722988128662,134.76577758789062,56.16854703426361,51.89618396759033,108.57215080261228,114.51992797851562,104.37832713127136,101.52231979370117,195.38838806152341,201.77685546875,0.9389934737571104,0.939962966828682,0.9867519031332717,0.9899222661574381,0.047526185078266,0.05265048277534967,0.08343223161333363,0.08411950709282645,0.03654170749576616,0.04064204085330693,0.06390926843147203,0.06434637769217656,True
screen_video,screen_video_06,proposed,geometry,ok,,4,300,4,4,4,174.46860122680664,183.10753631591797,262.28107833862305,269.9448547363281,167.0059461593628,177.20077514648438,253.15858001708983,260.1330261230469,227.71536445617676,233.74529266357422,343.5164627075195,354.1805114746094,0.8022799925920416,0.7859876953866519,0.9058206518189131,0.9220599536667339,0.04213753534717379,0.04450631553216433,0.054120121556936795,0.05554639476837808,0.032490473561142444,0.03433326968531645,0.04143734992134811,0.042489660492906034,True
screen_video,screen_video_07,frame_wise,geometry,ok,,4,300,4,4,4,77.89477837085724,78.2454764842987,152.45682373046876,152.6186981201172,56.3422737121582,46.88247728347778,123.19458389282225,129.18360900878906,144.79877042770386,136.22768807411194,297.94710540771484,303.64990234375,0.9285665721353176,0.9374970595944822,0.9958703586090709,0.9964361974959384,0.08149593364970331,0.08023540196215917,0.1633250281325162,0.1645707724155221,0.06251603627160657,0.061692611173628044,0.12506478312924516,0.12594729179196998,True
screen_video,screen_video_07,optical_flow,geometry,ok,,4,300,4,4,4,96.99378156661987,78.32408142089844,199.58001747131345,213.51788330078125,80.94247531890869,65.41908264160156,168.0707897186279,179.34823608398438,155.2154998779297,121.90688705444336,322.74080200195306,346.7366638183594,0.8872758159428483,0.910001012835018,0.9733299122478167,0.9767579742556822,0.05272810772764136,0.04248881676571836,0.11501893240910319,0.12281073972477796,0.04050216687628415,0.03279733663465889,0.08805702194103186,0.09398801405786802,True
screen_video,screen_video_07,proposed,geometry,ok,,4,300,4,4,4,192.8842544555664,189.68479537963867,322.409765625,325.7310791015625,180.6691780090332,172.62928009033203,307.7893081665039,312.75592041015625,255.90145683288574,251.8066520690918,429.45178070068357,436.3591003417969,0.7864538677205638,0.7938710517811669,0.9191313040587205,0.9192649764019162,0.01359372348002802,0.009456575633599251,0.027375224372222565,0.030406699051275243,0.01061827181262796,0.007286176593598474,0.02158482965169546,0.02401678625026825,True
screen_video,screen_video_08,frame_wise,geometry,ok,,4,299,4,4,4,215.28500366210938,222.01087188720703,310.75555419921875,316.79473876953125,203.57352828979492,212.5006561279297,295.4393142700195,301.941650390625,289.3223457336426,287.0364074707031,434.4310623168945,442.46075439453125,0.7794030375858245,0.7614651287058123,0.8799555374099591,0.8943614161100849,0.02209354727017898,0.018019179287323106,0.037217039314381056,0.04040478915075285,0.017027338221979667,0.013786506897775188,0.028932996818119547,0.031450701786421106,True
screen_video,screen_video_08,optical_flow,geometry,ok,,4,299,4,4,4,337.4075527191162,327.22208404541016,601.3697372436523,620.4484252929688,273.3968172073364,273.31092834472656,471.14462127685545,484.63458251953125,560.4496021270752,536.0630493164062,1031.6538482666015,1065.4075927734375,0.7740340662869726,0.7811449311257475,0.9125755430340277,0.9238974198373805,0.23026783055010264,0.18438702086538084,0.5138127187576588,0.5452581747741614,0.17574109934847437,0.14117673149319063,0.39141999665317934,0.4152209238544897,True
