category,clip_id,method,metric,status,reason,sampled_frames,has_reference,rows,ok_rows,normalized_gradient_mean_mean,normalized_gradient_mean_p50,normalized_gradient_mean_p95,normalized_gradient_mean_max,reference_gradient_mean_mean,reference_gradient_mean_p50,reference_gradient_mean_p95,reference_gradient_mean_max,gradient_magnitude_ratio_mean,gradient_magnitude_ratio_p50,gradient_magnitude_ratio_p95,gradient_magnitude_ratio_max,normalized_edge_density_mean,normalized_edge_density_p50,normalized_edge_density_p95,normalized_edge_density_max,reference_edge_density_mean,reference_edge_density_p50,reference_edge_density_p95,reference_edge_density_max,edge_precision_mean,edge_precision_p50,edge_precision_p95,edge_precision_max,edge_recall_mean,edge_recall_p50,edge_recall_p95,edge_recall_max,edge_preservation_index_mean,edge_preservation_index_p50,edge_preservation_index_p95,edge_preservation_index_max
scrolling,scrolling_03,frame_wise,detail,ok,,5,True,5,5,0.1944449871778488,0.19974464178085327,0.22038843631744384,0.22516074776649475,0.1981598198413849,0.2034643590450287,0.22401055097579955,0.22893276810646057,0.9811166219053267,0.9835234581263101,0.9865327997906185,0.9868642023661418,0.08376552854938273,0.07989293981481481,0.10267139274691359,0.10832320601851853,0.08571450617283952,0.0810841049382716,0.1061892361111111,0.11231915509259259,0.5976623006190986,0.4899259732202553,0.907279234172053,0.9815273546566208,0.5865715004412962,0.47987009152642457,0.8913112719818083,0.9653316362944283,0.5920611319239317,0.48484589731097155,0.8992225547159083,0.9733621302234734
scrolling,scrolling_03,optical_flow,detail,ok,,5,True,5,5,0.19388202130794524,0.2002333402633667,0.2190219908952713,0.22367973625659943,0.1981598198413849,0.2034643590450287,0.22401055097579955,0.22893276810646057,0.9783359773785198,0.9799906591375775,0.9841024777057309,0.9848948994826671,0.08183207947530864,0.07792293595679012,0.10078954475308642,0.106117862654321,0.08571450617283952,0.0810841049382716,0.1061892361111111,0.11231915509259259,0.45309441750202595,0.29971345640885994,0.877604195165816,0.9802126187788983,0.44073723822630867,0.29273693534100975,0.8595060693378263,0.9637376885378504,0.44680709607733055,0.29618411914776244,0.8684328121966811,0.9719053413474769
scrolling,scrolling_03,proposed,detail,ok,,5,True,5,5,0.14265687465667726,0.14583757519721985,0.17548195123672486,0.18253682553768158,0.1981598198413849,0.2034643590450287,0.22401055097579955,0.22893276810646057,0.7321612689175014,0.6370323322583555,0.9690341452382247,0.9956843627707017,0.05645592206790123,0.05639322916666667,0.07838869598765433,0.07999373070987655,0.08571450617283952,0.0810841049382716,0.1061892361111111,0.11231915509259259,0.3819943029918375,0.3353771689029135,0.5844391113144796,0.6423752825923135,0.27431144619722503,0.21680084154483587,0.5565820955775492,0.6308821430270733,0.31216800719022963,0.2685340958543404,0.5677663518098618,0.6365768410301113
scrolling,scrolling_04,frame_wise,detail,ok,,5,True,5,5,0.19590317606925964,0.184095561504364,0.23082643747329712,0.23770874738693237,0.19896963536739348,0.1886446326971054,0.23634745478630065,0.2446007877588272,0.9851735312039087,0.9777715515170247,1.000418794612299,1.0005688927744583,0.08794878472222223,0.08052131558641976,0.11305661651234568,0.11984230324074074,0.08956076388888888,0.0800805362654321,0.11845244984567901,0.126640625,0.6131253532082336,0.50508276686631,0.9180996578496495,0.9825705492541759,0.6064441438819073,0.5110209502158046,0.90252899177057,0.9699027344466875,0.6097123086661622,0.5080345069553385,0.910224316447984,0.9761955469137336
scrolling,scrolling_04,optical_flow,detail,ok,,5,True,5,5,0.19560954570770264,0.18401141464710236,0.22963949143886567,0.23563368618488312,0.19896963536739348,0.1886446326971054,0.23634745478630065,0.2446007877588272,0.983821598590648,0.9754394387809469,1.0101759305169646,1.0114520353270473,0.08648543595679012,0.0784813850308642,0.11116637731481481,0.11763261959876543,0.08956076388888888,0.0800805362654321,0.11845244984567901,0.126640625,0.4769742040757535,0.3149970884379894,0.8937884061068149,0.9838409527944917,0.46905096667738766,0.31669545937976556,0.878874960336834,0.9722884933015232,0.4729264099508554,0.315843990785651,0.8862269820330558,0.9780306099373942
scrolling,scrolling_04,proposed,detail,ok,,5,True,5,5,0.15556542128324508,0.16370262205600739,0.18662377893924714,0.1874362677335739,0.19896963536739348,0.1886446326971054,0.23634745478630065,0.2446007877588272,0.7844891212144951,0.7207639166903568,0.9752425876201369,0.993594490623692,0.06362152777777777,0.0709008487654321,0.08294994212962963,0.08423852237654321,0.08956076388888888,0.0800805362654321,0.11845244984567901,0.126640625,0.3959407746325921,0.3339134516851102,0.6473281481525638,0.7092060973115046,0.307888211596426,0.2164263790831753,0.6274943416242893,0.7019330764054567,0.3413954597966608,0.26262928915934025,0.6367231317555865,0.7055508442588544
scrolling,scrolling_05,frame_wise,detail,ok,,5,True,5,5,0.18875317573547362,0.18268050253391266,0.2168775111436844,0.22351661324501038,0.191035720705986,0.182502880692482,0.22230722308158873,0.22986668348312378,0.9888652969622459,0.9901457420046291,0.9989581381636967,1.0009732550015469,0.0801237461419753,0.07817563657407407,0.0906231674382716,0.09369020061728395,0.08158825231481483,0.0791845100308642,0.09332233796296296,0.0968431712962963,0.5743359323989395,0.48201474353042784,0.8680799129812817,0.9633202248347712,0.5652818493610744,0.4793439230722415,0.8445330620923626,0.9356469170476162,0.56975928905368,0.4806756233010155,0.8561400505308967,0.9492819318640889
scrolling,scrolling_05,optical_flow,detail,ok,,5,True,5,5,0.18873405754566192,0.18125297129154205,0.21710406243801117,0.22356055676937103,0.191035720705986,0.182502880692482,0.22230722308158873,0.22986668348312378,0.9887027435294973,0.9918210611597879,0.9953343807194198,0.9958801535320295,0.0788208912037037,0.07592881944444445,0.09075511188271605,0.09401475694444444,0.08158825231481483,0.0791845100308642,0.09332233796296296,0.0968431712962963,0.42051414046393365,0.29946775402360176,0.8321729978512618,0.9630364864656911,0.41270292052297436,0.29314101393707015,0.8125995374128914,0.9384505064387941,0.4165619932688018,0.29627061158083173,0.8222590734566637,0.9505845496868589
scrolling,scrolling_05,proposed,detail,ok,,5,True,5,5,0.15254982709884643,0.12943194806575775,0.21659495830535888,0.2276192009449005,0.191035720705986,0.182502880692482,0.22230722308158873,0.22986668348312378,0.7859790058724163,0.709204959256786,0.9717986314984054,0.990222669487515,0.057274787808641967,0.045576292438271604,0.08874257330246912,0.09443769290123456,0.08158825231481483,0.0791845100308642,0.09332233796296296,0.0968431712962963,0.38487859700097726,0.2831695872592555,0.6361608505447689,0.696169048032437,0.2920848351878169,0.15552918264256588,0.6130190091734049,0.6845289671038872,0.32627921915868513,0.19849886725737578,0.6238894238563079,0.6902999412688925
scrolling,scrolling_06,frame_wise,detail,ok,,1,True,1,1,0.18666371703147888,0.18666371703147888,0.18666371703147888,0.18666371703147888,0.1915368139743805,0.1915368139743805,0.1915368139743805,0.1915368139743805,0.9745579095643022,0.9745579095643022,0.9745579095643022,0.9745579095643022,0.0795018325617284,0.0795018325617284,0.0795018325617284,0.0795018325617284,0.08072482638888889,0.08072482638888889,0.08072482638888889,0.08072482638888889,0.9759606927299749,0.9759606927299749,0.9759606927299749,0.9759606927299749,0.9642812337580874,0.9642812337580874,0.9642812337580874,0.9642812337580874,0.9700858104726129,0.9700858104726129,0.9700858104726129,0.9700858104726129
