"metric","category","clip_id","method","status","reason"
"temporal","screen_video","screen_video_02","proposed","ok",
"temporal","screen_video","screen_video_03","frame_wise","ok",
"temporal","screen_video","screen_video_03","optical_flow","ok",
"temporal","screen_video","screen_video_03","proposed","ok",
"temporal","screen_video","screen_video_04","frame_wise","ok",
"temporal","screen_video","screen_video_04","optical_flow","ok",
"temporal","screen_video","screen_video_04","proposed","ok",
"temporal","screen_video","screen_video_05","frame_wise","ok",
"temporal","screen_video","screen_video_05","optical_flow","ok",
"temporal","screen_video","screen_video_05","proposed","ok",
"temporal","screen_video","screen_video_06","frame_wise","ok",
"temporal","screen_video","screen_video_06","optical_flow","ok",
"temporal","screen_video","screen_video_06","proposed","ok",
"temporal","screen_video","screen_video_07","frame_wise","ok",
"temporal","screen_video","screen_video_07","optical_flow","ok",
"temporal","screen_video","screen_video_07","proposed","ok",
"temporal","screen_video","screen_video_08","frame_wise","ok",
"temporal","screen_video","screen_video_08","optical_flow","ok",
"temporal","screen_video","screen_video_08","proposed","ok",
"temporal","screen_video","screen_video_09","frame_wise","ok",
"temporal","screen_video","screen_video_09","optical_flow","ok",
"temporal","screen_video","screen_video_09","proposed","ok",
"temporal","screen_video","screen_video_10","frame_wise","ok",
"temporal","screen_video","screen_video_10","optical_flow","ok",
"temporal","screen_video","screen_video_10","proposed","ok",
"temporal","scrolling","scrolling_01","frame_wise","ok",
"temporal","scrolling","scrolling_01","optical_flow","ok",
"temporal","scrolling","scrolling_01","proposed","ok",
"temporal","scrolling","scrolling_02","frame_wise","ok",
"temporal","scrolling","scrolling_02","optical_flow","ok",
"temporal","scrolling","scrolling_02","proposed","ok",
"temporal","scrolling","scrolling_03","frame_wise","ok",
"temporal","scrolling","scrolling_03","optical_flow","ok",
"temporal","scrolling","scrolling_03","proposed","ok",
"temporal","scrolling","scrolling_04","frame_wise","ok",
"temporal","scrolling","scrolling_04","optical_flow","ok",
"temporal","scrolling","scrolling_04","proposed","ok",
"temporal","scrolling","scrolling_05","frame_wise","ok",
