category,clip_id,method,metric,status,reason,sampled_frames,rows,ok_rows,fft_angle_separation_deg_mean,fft_angle_separation_deg_p50,fft_angle_separation_deg_p95,fft_angle_separation_deg_max,fft_orthogonality_error_deg_mean,fft_orthogonality_error_deg_p50,fft_orthogonality_error_deg_p95,fft_orthogonality_error_deg_max,fft_axis_alignment_error_deg_mean,fft_axis_alignment_error_deg_p50,fft_axis_alignment_error_deg_p95,fft_axis_alignment_error_deg_max,fft_primary_weight_share_mean,fft_primary_weight_share_p50,fft_primary_weight_share_p95,fft_primary_weight_share_max,fft_peak_count_mean,fft_peak_count_p50,fft_peak_count_p95,fft_peak_count_max,interpretation,initialization_frame_excluded,video_frame_count
screen_video,screen_video_03,proposed,frequency,ok,,9,9,9,89.66666666666667,90.0,90.0,90.0,0.3333333333333333,0.0,1.0,1.0,0.16666666666666666,0.0,0.5,0.5,0.08830506500360091,0.08699404381001269,0.10546031705599856,0.10910354821018624,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_04,frame_wise,frequency,ok,,9,9,9,89.88888888888889,90.0,90.0,90.0,0.1111111111111111,0.0,0.5999999999999996,1.0,0.05555555555555555,0.0,0.2999999999999998,0.5,0.09518193426136655,0.08997573375423255,0.11858613903132202,0.12519819227607615,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_04,optical_flow,frequency,ok,,9,9,9,89.77777777777777,90.0,90.0,90.0,0.2222222222222222,0.0,1.0,1.0,0.1111111111111111,0.0,0.5,0.5,0.09477337004480907,0.08960576445122928,0.12180140718619464,0.12699867275950283,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_04,proposed,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09198528941654344,0.08545407587330883,0.1183127185333139,0.1249028803541864,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,299
screen_video,screen_video_05,frame_wise,frequency,ok,,9,9,9,89.77777777777777,90.0,90.0,90.0,0.2222222222222222,0.0,1.0,1.0,0.1111111111111111,0.0,0.5,0.5,0.0967263865579197,0.09496042801322654,0.10721759222089189,0.10981248642604687,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_05,optical_flow,frequency,ok,,9,9,9,89.88888888888889,90.0,90.0,90.0,0.1111111111111111,0.0,0.5999999999999996,1.0,0.05555555555555555,0.0,0.2999999999999998,0.5,0.09750763640478927,0.09705292941097966,0.10552011108983769,0.10807765949218452,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_05,proposed,frequency,ok,,9,9,9,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09215765891363972,0.09230949607711184,0.09831420842846098,0.09832869880282041,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_06,frame_wise,frequency,ok,,9,9,9,78.0,77.0,89.2,90.0,12.0,13.0,22.799999999999997,24.0,6.666666666666667,7.5,12.599999999999998,14.0,0.04180303839750572,0.02153793500005801,0.0862449390311452,0.08780675009170642,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_06,optical_flow,frequency,ok,,9,9,9,81.66666666666667,83.0,89.0,89.0,8.333333333333334,7.0,19.599999999999998,22.0,4.944444444444445,3.5,11.8,12.0,0.04277385843054315,0.020941204741014168,0.09208168270577366,0.09582413757252578,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_06,proposed,frequency,ok,,9,9,9,80.55555555555556,83.0,90.0,90.0,9.444444444444445,7.0,21.199999999999996,24.0,7.055555555555555,3.5,21.999999999999993,31.0,0.04786949312383572,0.02273129440482294,0.10304281456551555,0.10610744324604898,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_07,frame_wise,frequency,ok,,9,9,9,81.0,85.0,89.2,90.0,9.0,5.0,21.799999999999997,25.0,4.722222222222222,2.5,10.899999999999999,12.5,0.03029538965491681,0.0211671549402963,0.05369056044246686,0.055495358394961,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
screen_video,screen_video_07,optical_flow,frequency,ok,,9,9,9,79.55555555555556,79.0,89.0,89.0,10.444444444444445,11.0,23.4,25.0,6.111111111111111,6.5,12.899999999999999,14.5,0.025272657726996963,0.02164343130351745,0.036063503781028045,0.03643530774117157,1452.0,1452.0,1452.0,1452.0,frequency direction and axis regularity after geometric resampling; this is not a moire-suppression measurement,True,300
